,Pictures,Names,Names1,Names2,Names3,RT,Response,RT_certainty,Response_certainty,Accuracy,Knowledge,Subject,Sex,Age,Handedness
85,86,佟丽娅,张靓颖,左小青,王心凌,6.299931555986404e-06,d,6.100162863731384e-06,d,1.0,0.0,99.0,female,20.0,right-handed
62,63,冯巩,姜鹏,邵峰,刘伟,6.00004568696022e-06,d,2.659996971487999e-05,d,0.0,0.0,99.0,female,20.0,right-handed
55,56,郭达,何军,刘劲,刘流,6.00004568696022e-06,d,5.7998113334178925e-06,d,0.0,0.0,99.0,female,20.0,right-handed
69,70,倪萍,李娟,曹颖,杜宪,2.1799933165311813e-05,d,6.200280040502548e-06,d,0.0,0.0,99.0,female,20.0,right-handed
46,47,韩红,田震,柏文,韦唯,6.0996972024440765e-06,d,6.800051778554916e-06,d,1.0,0.0,99.0,female,20.0,right-handed
66,67,林永健,孙红雷,林子聪,王祖蓝,6.200280040502548e-06,d,5.6996941566467285e-06,d,0.0,0.0,99.0,female,20.0,right-handed
64,65,聂海胜,杨利伟,费俊龙,景海鹏,6.299931555986404e-06,d,5.700159817934036e-06,d,0.0,0.0,99.0,female,20.0,right-handed
110,111,郭德纲,李建华,马三立,侯耀文,6.299931555986404e-06,d,6.00004568696022e-06,d,1.0,0.0,99.0,female,20.0,right-handed
93,94,王健林,王传福,陈保国,许世辉,6.1998143792152405e-06,d,3.719981759786606e-05,d,0.0,0.0,99.0,female,20.0,right-handed
108,109,王宝强,候京健,张大大,郭晓冬,6.200280040502548e-06,d,2.550007775425911e-05,d,0.0,0.0,99.0,female,20.0,right-handed
31,32,刘亦菲,郭碧婷,刘诗诗,黄圣依,6.299931555986404e-06,d,2.1599698811769485e-05,d,0.0,0.0,99.0,female,20.0,right-handed
50,51,甄子丹,刘家辉,于和伟,钱小豪,6.400048732757568e-06,d,6.00004568696022e-06,d,1.0,0.0,99.0,female,20.0,right-handed
115,116,于谦,笑林,王迅,马季,6.1998143792152405e-06,d,5.999580025672913e-06,d,0.0,0.0,99.0,female,20.0,right-handed
14,15,蒋介石,李宗仁,汪精卫,白崇禧,6.299931555986404e-06,d,5.600042641162872e-06,d,0.0,0.0,99.0,female,20.0,right-handed
71,72,董卿,张蕾,谢楠,闻阳,5.7998113334178925e-06,d,6.299931555986404e-06,d,1.0,0.0,99.0,female,20.0,right-handed
23,24,张国荣,黄贯中,林子祥,陈百强,6.500165909528732e-06,d,5.499925464391708e-06,d,0.0,0.0,99.0,female,20.0,right-handed
9,10,李克强,王乐泉,回良玉,刘延东,6.300397217273712e-06,d,5.499925464391708e-06,d,0.0,0.0,99.0,female,20.0,right-handed
19,20,周润发,邓光荣,陈锦鸿,谢霆锋,6.1998143792152405e-06,d,6.500165909528732e-06,d,0.0,0.0,99.0,female,20.0,right-handed
79,80,白岩松,陈志峰,马洪涛,任志宏,6.00004568696022e-06,d,5.7998113334178925e-06,d,1.0,0.0,99.0,female,20.0,right-handed
11,12,栗战书,王兆国,周永康,李长春,6.5998174250125885e-06,d,2.3799948394298553e-05,d,0.0,0.0,99.0,female,20.0,right-handed
111,112,孙俪,刘涛,宋佳,蒋欣,6.800051778554916e-06,d,5.7998113334178925e-06,d,0.0,0.0,99.0,female,20.0,right-handed
138,139,冯小刚,陈思诚,高晓松,郭敬明,6.299931555986404e-06,d,6.0996972024440765e-06,d,0.0,0.0,99.0,female,20.0,right-handed
76,77,朱迅,陈蕾,龙洋,管彤,6.6999346017837524e-06,d,6.90016895532608e-06,d,0.0,0.0,99.0,female,20.0,right-handed
113,114,张少华,王丽云,归亚蕾,严敏求,6.800051778554916e-06,d,6.1998143792152405e-06,d,0.0,0.0,99.0,female,20.0,right-handed
135,136,汪文斌,吴学谦,唐家璇,钱其琛,7.400289177894592e-06,d,6.5998174250125885e-06,d,0.0,0.0,99.0,female,20.0,right-handed
42,43,王菲,潘虹,那英,黄龄,6.400048732757568e-06,d,6.00004568696022e-06,d,0.0,0.0,99.0,female,20.0,right-handed
44,45,周杰伦,萧敬腾,张信哲,陈奕迅,6.6999346017837524e-06,d,2.369983121752739e-05,d,1.0,0.0,99.0,female,20.0,right-handed
56,57,朱时茂,李玉刚,许亚军,李国盛,5.899928510189056e-06,d,6.9998204708099365e-06,d,0.0,0.0,99.0,female,20.0,right-handed
34,35,李小龙,赵文卓,陈国坤,袁和平,6.1998143792152405e-06,d,6.400048732757568e-06,d,0.0,0.0,99.0,female,20.0,right-handed
99,100,章子怡,霍思燕,李小冉,蒋勤勤,8.599832653999329e-06,d,5.899928510189056e-06,d,0.0,0.0,99.0,female,20.0,right-handed
49,50,秦沛,郭峰,侯勇,关菁,6.100162863731384e-06,d,6.500165909528732e-06,d,1.0,0.0,99.0,female,20.0,right-handed
137,138,张柏芝,钟欣潼,蔡少芬,袁咏仪,6.500165909528732e-06,d,9.09995287656784e-06,d,0.0,0.0,99.0,female,20.0,right-handed
25,26,赵雅芝,周秀兰,陈玉莲,李嘉欣,6.5998174250125885e-06,d,8.00006091594696e-06,d,0.0,0.0,99.0,female,20.0,right-handed
92,93,唐国强,李雪健,马少骅,李定保,6.399583071470261e-06,d,6.6999346017837524e-06,d,1.0,0.0,99.0,female,20.0,right-handed
45,46,刘欢,孙楠,周华,刀郎,6.400048732757568e-06,d,7.0999376475811005e-06,d,0.0,0.0,99.0,female,20.0,right-handed
82,83,林心如,陈乔恩,贾静雯,伊能静,2.0899809896945953e-05,d,7.199589163064957e-06,d,0.0,0.0,99.0,female,20.0,right-handed
96,97,张嘉译,雷佳音,周立波,周一围,6.00004568696022e-06,d,6.90016895532608e-06,d,1.0,0.0,99.0,female,20.0,right-handed
100,101,倪大红,韩童生,徐少华,杨志刚,6.0996972024440765e-06,d,7.300172001123428e-06,d,1.0,0.0,99.0,female,20.0,right-handed
126,127,华春莹,范慧娟,章启月,李金华,6.200280040502548e-06,d,1.1200085282325745e-05,d,1.0,0.0,99.0,female,20.0,right-handed
1,2,周恩来,陈延年,邓中夏,孙炳文,7.0999376475811005e-06,d,5.499925464391708e-06,d,0.0,0.0,99.0,female,20.0,right-handed
