,s
0,haki
1,kofia
2,yake
3,mwezi
4,garisi
5,maisha
6,jua
7,kinywa
8,mahindi
9,kudhibi
10,skrini
11,kumbuka
12,adhabu
13,tafuta
14,juuya
15,ijayo
16,sindano
17,ugomvi
18,mbegu
19,kioo
20,sufuria
21,pwani
22,bahari
23,mchezo
24,leso
25,mizizi
26,dizeli
27,unga
28,pigo
29,neyemba
30,kaburi
31,viatu
32,tumbo
33,kidole
34,hofu
35,funzi
36,choori
37,kazi
38,kuacha
39,hekalu
40,kumba
41,baharia
42,panya
43,afya
44,jikoni
45,bustani
46,ofisi
47,chombo
48,mashua
49,kengele
50,twai
51,mageho
52,kijiko
53,mbuzi
54,picha
55,kiatu
56,maji
57,uzio
58,nopya
59,mzungu
60,hazini
61,buli
62,pazia
63,kahawa
64,goti
65,fedha
66,mkasi
67,matumai
68,mamba
69,chumvi
70,bunifu
71,chupi
72,wingi
73,ishiri
74,baadaye
75,kifungo
76,mwanake
77,basi
78,mkate
79,chuma
80,mraba
81,kelele
82,bendi
83,baiski
84,guruwe
85,punguza
86,nyeusi
87,washia
88,suti
89,mende
90,mfupa
91,kitanda
92,mfuko
93,ukweli
94,jani
95,geza
96,ndoora
97,usiku
98,sabuni
99,ukimya
100,kiwango
101,mgonjwa
102,akili
103,nyota
104,katika
105,kisiwa
106,umasijo
107,ndege
108,chuki
109,duka
110,kuandika
111,ngazi
112,nchi
113,osha
114,daraja
115,mbali
116,mapafu
117,mchuzi
118,wadudu
119,mtirka
120,samaki
121,kitande
122,mdomo
123,takatak
124,ukame
125,radi
126,rombus
127,nanga
128,mazishi
129,nakala
130,nyasi
131,aibu
132,uhuru
133,bilaska
134,dhoruba
135,kamwe
136,singizi
137,dari
138,trekta
139,bega
140,seri
141,kusikiza
142,kiti
143,dakika
144,kalamu
145,imani
146,kushoto
147,uchorai
148,bloke
149,kitovu
150,nguo
151,kawaida
152,soko
153,starehe
154,adui
155,kubwa
156,mali
157,mekno
158,ishara
159,nzuri
160,mchanga
161,kichwa
162,kito
163,mafuta
164,hamsi
165,nyundo
166,mtawa
167,wingu
168,bandari
169,tanuri
170,uadui
171,nyundu
172,petye
173,mtoto
174,mechezo
175,mguu
176,mwanga
177,ufagio
178,piga
179,glasi
180,sahani
181,ndevu
182,kihozi
183,surali
184,mpishi
185,mkanda
186,wimbo
187,chubani
188,ndaniya
189,mungu
190,jeraha
191,rafiki
192,lugha
193,welder
194,chupa
195,kunywa
196,matunda
197,ngono
198,gari
199,moshi
200,seesaw
201,mkoba
202,bafuni
203,kuruka
204,habari
205,sehemu
206,jumatu
207,matumbo
208,jansa
209,siagi
210,elfu
211,asili
212,uongo
213,kisu
214,wengine
215,jibini
216,pole
217,mkono
218,barua
219,zeituni
220,almasi
221,koleo
222,jiwe
223,umeme
224,maua
225,yatima
226,uyoga
227,tembo
228,wakala
229,furaha
230,jino
231,mavazi
232,mbwa
233,sauti
234,moyo
235,mdudu
236,hasira
237,kovuli
238,farasi
239,msitu
240,godoro
241,kuhesa
242,sungura
243,amani
244,rangi
245,chanzo
246,kijivu
247,kupanda
248,ngozi
249,pombe
250,kununa
251,meza
252,jokofu
253,stork
254,kamba
255,nyoka
256,kifua
257,kubale
258,kikapu
259,gundi
260,kujenga
261,ndugu
262,ardhi
263,nyange
264,alizeti
265,tamasha
266,tamaa
267,kukimba
268,meli
269,suruali
270,mkuu
271,kartasi
272,simu
273,mvua
274,ngamia
275,kesho
276,tumbili
277,mundamo
278,sayari
279,msumari
