,s
0,osha
1,kijivu
2,goti
3,mchawi
4,unga
5,sufuria
6,kesho
7,simu
8,kumbuka
9,ndege
10,mtawa
11,kiatu
12,mungu
13,starehe
14,glasi
15,adhabu
16,pigo
17,bendi
18,yatima
19,baadaye
20,mageho
21,nanga
22,mpishi
23,seri
24,mkasi
25,pazia
26,kumba
27,kuzama
28,umasijo
29,meza
30,mapafu
31,kitande
32,kubale
33,mvringo
34,gundi
35,punda
36,matunda
37,wimbo
38,ndoora
39,hatua
40,nopya
41,chuma
42,funzi
43,jua
44,kengele
45,nzuri
46,sahani
47,imani
48,bloke
49,dari
50,mkoba
51,mali
52,bunifu
53,kawaida
54,kukimba
55,kinywa
56,ardhi
57,kofia
58,haki
59,ndizi
60,ndogo
61,kitovu
62,ngazi
63,kahawa
64,mwanga
65,adui
66,mfuko
67,choori
68,ukame
69,pwani
70,jiwe
71,waya
72,mdudu
73,mkuu
74,mvuke
75,uadui
76,msitu
77,mizizi
78,uchorai
79,sindano
80,nguo
81,dakika
82,kuhesa
83,ukweli
84,kito
85,mbuzi
86,bahari
87,zeituni
88,matumai
89,alizeti
90,welder
91,shule
92,usiku
93,kuandika
94,kuacha
95,punguza
96,juuya
97,suruali
98,buli
99,baharia
100,sehemu
101,matumbo
102,twai
103,duka
104,fedha
105,chaki
106,kichwa
107,nyoka
108,hekalu
109,mchuzi
110,mamba
111,kujenga
112,jokofu
113,mchanga
114,ndugu
115,ijayo
116,kudhibi
117,kusikiza
118,lugha
119,dhoruba
120,rangi
121,kamba
122,pole
123,kijiko
124,furaha
125,dizeli
126,wakala
127,godoro
128,mbali
129,uyoga
130,mashua
131,ofisi
132,maisha
133,nyumba
134,mende
135,mtoto
136,hazini
137,miwani
138,ndevu
139,yake
