,Pictures,Names,Names1,Names2,Names3,RT,Response,RT_certainty,Response_certainty,Accuracy,Knowledge,Subject,Sex,Age,Handedness
29,30,黄奕,曾黎,姜珊,梅婷,2.2140887998975813,c,0.6309751998633146,j,1.0,1.0,16.0,male,29.0,right-handed
113,114,张少华,王丽云,归亚蕾,严敏求,4.2316769999451935,c,1.2239171001128852,j,1.0,1.0,16.0,male,29.0,right-handed
28,29,邱淑贞,陈宝莲,李婉华,叶玉卿,3.018752600066364,n,0.5575546999461949,j,1.0,1.0,16.0,male,29.0,right-handed
72,73,李思思,张舒越,敬一丹,李梓萌,1.6824523000977933,j,0.4837708999402821,j,1.0,1.0,16.0,male,29.0,right-handed
135,136,汪文斌,吴学谦,唐家璇,钱其琛,2.5370133998803794,n,0.44920040015131235,j,1.0,1.0,16.0,male,29.0,right-handed
9,10,李克强,王乐泉,回良玉,刘延东,15.520353300031275,c,0.9258514000102878,j,1.0,1.0,16.0,male,29.0,right-handed
14,15,蒋介石,李宗仁,汪精卫,白崇禧,3.210850600153208,j,0.5130373002029955,j,1.0,1.0,16.0,male,29.0,right-handed
121,122,马云,黄峥,张勇,王兴,13.521806699689478,j,0.6505979998037219,j,1.0,1.0,16.0,male,29.0,right-handed
101,102,姚明,周琦,林丹,孙杨,2.142039599828422,j,0.4632367002777755,j,1.0,1.0,16.0,male,29.0,right-handed
95,96,蔡康永,徐乃麟,吴宗宪,倪志强,1.8081698003225029,n,0.3979191002435982,j,1.0,1.0,16.0,male,29.0,right-handed
51,52,宋丹丹,马丽娟,沈春阳,潘凤霞,3.9766898998059332,c,1.5331480000168085,j,1.0,1.0,16.0,male,29.0,right-handed
71,72,董卿,张蕾,谢楠,闻阳,2.28654280025512,d,0.768622100353241,j,1.0,1.0,16.0,male,29.0,right-handed
124,125,李彦宏,平晓黎,曹晓冬,宋志平,3.692037499975413,j,0.7311045001260936,j,1.0,1.0,16.0,male,29.0,right-handed
53,54,朱婷,颜妮,丁霞,孙燕,9.44806700013578,d,0.5684458999894559,j,1.0,1.0,16.0,male,29.0,right-handed
84,85,欧阳夏丹,李莎旻子,赵韩樱子,吉克隽逸,1.6465901001356542,c,0.30551679991185665,j,1.0,1.0,16.0,male,29.0,right-handed
50,51,甄子丹,刘家辉,于和伟,钱小豪,3.8211958999745548,j,0.6140274000354111,j,1.0,1.0,16.0,male,29.0,right-handed
52,53,郭冬临,寇振海,李文启,常汝言,5.75028509972617,d,0.6373107000254095,j,1.0,1.0,16.0,male,29.0,right-handed
111,112,孙俪,刘涛,宋佳,蒋欣,2.369771800003946,j,0.42062459979206324,j,1.0,1.0,16.0,male,29.0,right-handed
129,130,董明珠,陶华碧,陈丽华,周群飞,4.31811589980498,j,0.474849299993366,j,1.0,1.0,16.0,male,29.0,right-handed
36,37,贾玲,宋宁,金珠,姚晨,3.2463760999962687,d,0.5619828002527356,j,1.0,1.0,16.0,male,29.0,right-handed
70,71,周涛,刘涛,文清,朱迅,4.322931500151753,n,0.4401492001488805,j,1.0,1.0,16.0,male,29.0,right-handed
123,124,任正非,周鸿祎,张一鸣,张文中,1.4182605999521911,c,0.35951789980754256,j,1.0,1.0,16.0,male,29.0,right-handed
134,135,王毅,耿爽,洪磊,秦刚,6.663445799611509,n,0.39376890007406473,j,1.0,1.0,16.0,male,29.0,right-handed
94,95,俞敏洪,何凯文,蒋中庭,肖秀荣,1.6017434000968933,c,0.5150071997195482,j,1.0,1.0,16.0,male,29.0,right-handed
15,16,彭德怀,华国锋,赵紫阳,朱镕基,3.1076470999978483,n,0.5872357999905944,j,1.0,1.0,16.0,male,29.0,right-handed
77,78,任鲁豫,李晓东,赵一天,王金健,1.4932488999329507,j,0.43822210002690554,j,1.0,1.0,16.0,male,29.0,right-handed
24,25,胡歌,郑恺,陈晓,夏雨,2.2543756999075413,j,0.5949235996231437,j,1.0,1.0,16.0,male,29.0,right-handed
83,84,范冰冰,张馨予,高圆圆,张雨绮,4.338012500200421,d,0.6437838999554515,n,1.0,1.0,16.0,male,29.0,right-handed
33,34,温碧霞,杨恭如,关之琳,邓紫棋,8.9782446003519,d,0.7101722997613251,j,1.0,1.0,16.0,male,29.0,right-handed
40,41,张学友,林子祥,谭咏麟,周华健,10.063028099946678,c,1.0221756999380887,n,1.0,1.0,16.0,male,29.0,right-handed
112,113,巩俐,周迅,陶虹,汤唯,2.915109499823302,n,0.7216081996448338,j,1.0,1.0,16.0,male,29.0,right-handed
115,116,于谦,笑林,王迅,马季,4.596161500085145,d,0.437808099668473,j,1.0,1.0,16.0,male,29.0,right-handed
91,92,张丰毅,王劲松,张艺谋,王新军,4.276515899691731,n,0.36000740015879273,j,1.0,1.0,16.0,male,29.0,right-handed
120,121,屠呦呦,吴健雄,何泽慧,陈化兰,3.888384799938649,n,1.1659367997199297,j,1.0,1.0,16.0,male,29.0,right-handed
63,64,张小斐,高秀敏,黄小娟,陈小艺,2.5249012000858784,d,0.44595299987122416,j,1.0,1.0,16.0,male,29.0,right-handed
96,97,张嘉译,雷佳音,周立波,周一围,1.5305833001621068,j,0.4423217000439763,j,1.0,1.0,16.0,male,29.0,right-handed
0,1,毛泽东,陈伯达,许世友,黄永胜,2.240921600256115,d,0.8998576998710632,j,1.0,1.0,16.0,male,29.0,right-handed
108,109,王宝强,候京健,张大大,郭晓冬,1.6311486000195146,d,0.6700981999747455,j,1.0,1.0,16.0,male,29.0,right-handed
43,44,杨钰莹,梁静茹,张韶涵,张靓颖,3.9258727999404073,n,0.5398051999509335,j,1.0,1.0,16.0,male,29.0,right-handed
85,86,佟丽娅,张靓颖,左小青,王心凌,1.215427900198847,d,0.3451500996015966,j,1.0,1.0,16.0,male,29.0,right-handed
69,70,倪萍,李娟,曹颖,杜宪,4.047758100088686,j,0.5287600997835398,j,1.0,1.0,16.0,male,29.0,right-handed
38,39,苏有朋,金城武,陈小春,朱孝天,9.984011999797076,n,0.4199738996103406,j,1.0,1.0,16.0,male,29.0,right-handed
105,106,黄渤,黄轩,张译,杨烁,2.0935721998102963,n,0.3521579001098871,j,1.0,1.0,16.0,male,29.0,right-handed
32,33,王祖贤,周慧敏,吴君如,周海媚,2.9518770002759993,d,0.5721952002495527,j,1.0,1.0,16.0,male,29.0,right-handed
22,23,玲花,云朵,何静,格格,5.161507400218397,n,0.6166877001523972,j,1.0,1.0,16.0,male,29.0,right-handed
76,77,朱迅,陈蕾,龙洋,管彤,2.7405090001411736,c,0.36992029985412955,j,1.0,1.0,16.0,male,29.0,right-handed
7,8,胡锦涛,吴邦国,张立昌,曾庆红,2.8223836002871394,j,0.7021702998317778,j,1.0,1.0,16.0,male,29.0,right-handed
100,101,倪大红,韩童生,徐少华,杨志刚,5.752921899780631,c,1.1299946000799537,n,1.0,1.0,16.0,male,29.0,right-handed
27,28,朱茵,张雯,宋佳,董洁,2.1244865003973246,n,3.500715299975127,j,1.0,1.0,16.0,male,29.0,right-handed
65,66,黄宏,贾冰,乔杉,姜超,6.69349109986797,n,0.7746258000843227,n,1.0,1.0,16.0,male,29.0,right-handed
99,100,章子怡,霍思燕,李小冉,蒋勤勤,5.289139800239354,n,0.7034074999392033,j,1.0,1.0,16.0,male,29.0,right-handed
12,13,汪洋,黄菊,罗干,李鹏,1.290295900311321,j,0.4499331000261009,j,1.0,1.0,16.0,male,29.0,right-handed
21,22,梁朝伟,张家辉,刘青云,何家驹,2.7015430997125804,n,0.4311152999289334,j,1.0,1.0,16.0,male,29.0,right-handed
5,6,邓小平, 荣毅仁,李瑞环,杨尚昆,2.4073013002052903,j,2.2540354998782277,j,1.0,1.0,16.0,male,29.0,right-handed
132,133,钟南山,张伯礼,吴孟超,黄旭华,5.646284299902618,d,0.6548045999370515,j,1.0,1.0,16.0,male,29.0,right-handed
93,94,王健林,王传福,陈保国,许世辉,4.122262000106275,d,1.1443781000562012,j,1.0,1.0,16.0,male,29.0,right-handed
6,7,江泽民,朱镕基,田纪云,刘华清,2.4755237996578217,n,0.9284723000600934,j,1.0,1.0,16.0,male,29.0,right-handed
