,NOptions,Correct,SRPE,Swahili1,Swahili2,Swahili3,Swahili4,Face,TestSwahili1,TestSwahili2,TestSwahili3,TestSwahili4,Color1,Color2,Color3,Color4,RT,Response,SelectedWord
0,2,0,-0.5,jua,baharia,mwanake,ngazi,57,baharia,mwanake,ngazi,jua,white,black,black,white,0.05063810013234615,d,ngazi
1,4,0,-0.25,ijayo,twai,punguza,samaki,67,ijayo,twai,samaki,punguza,white,white,white,white,0.050151700153946877,d,punguza
2,4,0,-0.25,leso,mzungu,jani,nakala,58,leso,mzungu,nakala,jani,white,white,white,white,0.050216800067573786,d,jani
3,4,0,-0.25,unga,pazia,usiku,uhuru,95,unga,usiku,uhuru,pazia,white,white,white,white,0.05063829990103841,d,pazia
4,4,0,-0.25,dizeli,buli,ndoora,aibu,39,ndoora,buli,dizeli,aibu,white,white,white,white,0.05104449996724725,d,aibu
5,4,0,-0.25,ugomvi,kijiko,washia,mdomo,112,ugomvi,washia,kijiko,mdomo,white,white,white,white,0.050486099906265736,d,washia
6,4,1,0.75,kidole,mamba,nyota,trekta,68,trekta,mamba,kidole,nyota,white,white,white,white,0.05047369981184602,d,kidole
7,4,1,0.75,viatu,mkasi,mgonjwa,singizi,126,singizi,mgonjwa,mkasi,viatu,white,white,white,white,0.05007189977914095,d,viatu
8,2,0,-0.5,kinywa,panya,basi,nchi,125,panya,nchi,kinywa,basi,black,white,black,white,0.05119729973375797,d,nchi
9,2,1,0.5,skrini,bustani,mraba,mbali,64,mraba,skrini,bustani,mbali,white,white,black,black,0.05086869979277253,d,skrini
10,2,1,0.5,juuya,kengele,guruwe,mtirka,44,juuya,guruwe,mtirka,kengele,black,white,black,white,0.05076369969174266,d,juuya
11,2,0,-0.5,mahindi,afya,mkate,osha,106,mkate,mahindi,afya,osha,black,white,black,white,0.050248200073838234,d,osha
12,1,1,0.0,mwezi,kuacha,ishiri,chuki,8,chuki,mwezi,kuacha,ishiri,black,black,white,black,0.04983290005475283,d,mwezi
13,1,1,0.0,kofia,choori,chupi,umasijo,130,kofia,chupi,choori,umasijo,black,black,black,white,0.05101950000971556,d,kofia
14,2,1,0.5,adhabu,chombo,bendi,mchuzi,56,adhabu,mchuzi,bendi,chombo,black,white,white,black,0.05119780031964183,d,adhabu
15,2,0,-0.5,maisha,kumba,kifungo,kuandika,77,kumba,kuandika,kifungo,maisha,black,white,white,black,0.05066379997879267,d,kifungo
16,2,0,-0.5,kudhibi,jikoni,chuma,daraja,18,chuma,kudhibi,jikoni,daraja,white,white,black,black,0.051184399984776974,d,jikoni
17,1,1,0.0,garisi,hekalu,baadaye,duka,41,duka,garisi,baadaye,hekalu,black,black,black,white,0.050236900337040424,d,garisi
18,4,1,0.75,kaburi,fedha,kiwango,kamwe,47,kaburi,fedha,kiwango,kamwe,white,white,white,white,0.05022659990936518,d,kaburi
19,4,0,-0.25,mizizi,hazini,geza,nyasi,111,nyasi,hazini,geza,mizizi,white,white,white,white,0.05078649986535311,d,geza
20,4,1,0.75,hofu,chumvi,katika,bega,22,chumvi,katika,hofu,bega,white,white,white,white,0.050924299750477076,d,hofu
21,4,0,-0.25,pwani,maji,kitanda,rombus,40,rombus,kitanda,maji,pwani,white,white,white,white,0.05055800033733249,d,kitanda
22,4,0,-0.25,bahari,uzio,mfuko,nanga,131,bahari,mfuko,nanga,uzio,white,white,white,white,0.05073130037635565,d,mfuko
23,2,1,0.5,tafuta,mashua,baiski,wadudu,71,wadudu,baiski,tafuta,mashua,white,white,black,black,0.05070139979943633,d,tafuta
24,4,0,-0.25,neyemba,goti,ukimya,dhoruba,24,goti,neyemba,dhoruba,ukimya,white,white,white,white,0.05109449988231063,d,dhoruba
25,4,0,-0.25,mchezo,nopya,ukweli,mazishi,12,nopya,mchezo,ukweli,mazishi,white,white,white,white,0.05078489985316992,d,nopya
26,4,0,-0.25,sindano,mageho,nyeusi,kitande,84,kitande,mageho,nyeusi,sindano,white,white,white,white,0.051130800042301416,d,mageho
27,1,1,0.0,yake,kazi,wingi,ndege,9,ndege,wingi,kazi,yake,black,black,black,white,0.05055100005120039,d,yake
28,2,1,0.5,kumbuka,ofisi,kelele,mapafu,123,kumbuka,kelele,ofisi,mapafu,white,white,black,black,0.05050970008596778,d,kumbuka
29,1,1,0.0,haki,funzi,bunifu,kisiwa,74,kisiwa,bunifu,haki,funzi,white,black,black,black,0.05003109993413091,d,haki
30,4,1,0.75,tumbo,matumai,akili,dari,133,akili,dari,tumbo,matumai,white,white,white,white,0.050981400068849325,d,tumbo
31,4,0,-0.25,pigo,kahawa,sabuni,bilaska,127,sabuni,pigo,kahawa,bilaska,white,white,white,white,0.05067319981753826,d,sabuni
32,4,0,-0.25,sufuria,kiatu,mfupa,radi,1,mfupa,radi,sufuria,kiatu,white,white,white,white,0.05048229964450002,d,mfupa
33,4,0,-0.25,mbegu,mbuzi,suti,takatak,13,mbuzi,takatak,mbegu,suti,white,white,white,white,0.051036300137639046,d,mbuzi
34,4,0,-0.25,kioo,picha,mende,ukame,61,ukame,mende,picha,kioo,white,white,white,white,0.05059169977903366,d,ukame
