,NOptions,Correct,SRPE,Swahili1,Swahili2,Swahili3,Swahili4,Face,TestSwahili1,TestSwahili2,TestSwahili3,TestSwahili4,Color1,Color2,Color3,Color4,RT,Response,SelectedWord
0,4,0,-0.25,pigo,mali,bahari,kamba,111,pigo,kamba,bahari,mali,white,white,white,white,15.677742700092494,d,bahari
1,1,1,0.0,kijivu,matunda,waya,kichwa,33,kichwa,kijivu,matunda,waya,black,white,black,black,9.110147999599576,c,matunda
2,4,1,0.75,kitande,mfuko,matumbo,hazini,59,mfuko,kitande,hazini,matumbo,white,white,white,white,13.184682900086045,n,matumbo
3,4,0,-0.25,mkasi,ndizi,kuacha,uyoga,47,kuacha,uyoga,mkasi,ndizi,white,white,white,white,21.402987900190055,n,uyoga
4,2,1,0.5,mungu,imani,kuhesa,kusikiza,133,kuhesa,kusikiza,imani,mungu,black,white,black,white,17.778273299802095,c,imani
5,2,0,-0.5,simu,funzi,mizizi,jokofu,66,jokofu,funzi,simu,mizizi,white,black,white,black,15.13334340043366,n,simu
6,2,1,0.5,starehe,bloke,ukweli,lugha,94,lugha,ukweli,starehe,bloke,black,white,black,white,11.660314599983394,j,lugha
7,4,0,-0.25,umasijo,kahawa,buli,nyumba,132,kahawa,buli,nyumba,umasijo,white,white,white,white,2.5100497999228537,n,umasijo
8,4,1,0.75,meza,mwanga,baharia,mende,108,baharia,mwanga,meza,mende,white,white,white,white,11.975187300238758,n,baharia
9,1,1,0.0,osha,punda,jiwe,chaki,106,punda,jiwe,chaki,osha,white,black,black,black,4.513871899805963,d,osha
10,4,0,-0.25,baadaye,kukimba,alizeti,furaha,74,baadaye,alizeti,furaha,kukimba,white,white,white,white,28.301780899986625,n,baadaye
11,2,0,-0.5,kumbuka,jua,uchorai,mchanga,100,jua,kumbuka,uchorai,mchanga,white,black,white,black,4.0401858002878726,n,kumbuka
12,2,1,0.5,ndege,kengele,sindano,ndugu,13,ndege,ndugu,kengele,sindano,white,white,black,black,21.156206300016493,d,ndege
13,2,0,-0.5,sufuria,nopya,uadui,mamba,101,uadui,mamba,sufuria,nopya,black,white,black,white,21.30608920007944,j,nopya
14,4,0,-0.25,mpishi,kofia,usiku,godoro,56,usiku,mpishi,godoro,kofia,white,white,white,white,2.0542986998334527,j,usiku
15,4,0,-0.25,yatima,kawaida,matumai,kijiko,123,yatima,kawaida,kijiko,matumai,white,white,white,white,19.2780840001069,n,yatima
16,4,1,0.75,mvringo,ukame,duka,ndevu,35,ukame,ndevu,mvringo,duka,white,white,white,white,17.711649399716407,n,duka
17,4,0,-0.25,adhabu,mkoba,mbuzi,rangi,99,rangi,adhabu,mkoba,mbuzi,white,white,white,white,17.206024100072682,d,mkoba
18,2,0,-0.5,kesho,chuma,msitu,kujenga,28,chuma,msitu,kujenga,kesho,white,white,black,black,8.986370400059968,c,kesho
19,2,1,0.5,mtawa,nzuri,nguo,ijayo,22,nguo,mtawa,nzuri,ijayo,white,black,white,black,15.894081000238657,d,mtawa
20,2,0,-0.5,unga,hatua,mvuke,mchuzi,8,mvuke,unga,hatua,mchuzi,white,black,white,black,9.419418700039387,n,unga
21,4,1,0.75,kubale,choori,twai,miwani,140,kubale,twai,choori,miwani,white,white,white,white,32.39752210024744,d,kubale
22,4,0,-0.25,pazia,ndogo,punguza,mashua,62,mashua,punguza,pazia,ndogo,white,white,white,white,17.37288340041414,d,punguza
23,4,0,-0.25,glasi,dari,kito,dhoruba,7,glasi,dari,dhoruba,kito,white,white,white,white,12.813334200065583,d,kito
24,2,1,0.5,kiatu,sahani,dakika,kudhibi,6,dakika,kiatu,sahani,kudhibi,white,black,white,black,14.098900199867785,n,dakika
25,4,0,-0.25,nanga,ardhi,shule,wakala,68,ardhi,nanga,shule,wakala,white,white,white,white,17.22071659984067,n,wakala
26,4,0,-0.25,kuzama,ngazi,suruali,maisha,138,maisha,ngazi,kuzama,suruali,white,white,white,white,25.38822520012036,c,maisha
27,4,0,-0.25,seri,haki,kuandika,mbali,91,haki,seri,kuandika,mbali,white,white,white,white,23.01721700001508,c,mbali
28,4,0,-0.25,kumba,kitovu,juuya,ofisi,120,kumba,kitovu,juuya,ofisi,white,white,white,white,6.7164869997650385,d,juuya
29,1,1,0.0,s,gundi,pwani,fedha,39,s,fedha,gundi,pwani,black,black,white,black,11.585278899874538,n,pwani
30,4,0,-0.25,mageho,kinywa,welder,dizeli,93,kinywa,dizeli,mageho,welder,white,white,white,white,8.442176199983805,d,welder
31,4,0,-0.25,bendi,bunifu,zeituni,pole,115,zeituni,bendi,pole,bunifu,white,white,white,white,10.891650300007313,j,bendi
32,1,1,0.0,goti,wimbo,mdudu,nyoka,23,mdudu,wimbo,nyoka,goti,black,black,white,black,5.536778899841011,n,mdudu
33,4,1,0.75,mapafu,adui,sehemu,mtoto,129,sehemu,mtoto,mapafu,adui,white,white,white,white,20.218241500202566,d,mapafu
34,1,1,0.0,mchawi,ndoora,mkuu,hekalu,77,mkuu,hekalu,ndoora,mchawi,black,white,black,black,11.996682599652559,c,ndoora
