,Unnamed: 0,NOptions,Correct,SRPE,Swahili1,Swahili2,Swahili3,Swahili4,Face,TestSwahili1,TestSwahili2,TestSwahili3,TestSwahili4,Color1,Color2,Color3,Color4,RT,Response,SelectedWord,RT_recognition,Response_recognition,Accuracy_recognition,SelectedWord_recognition,RT_certainty,Response_certainty
0,1,1,1,0.0,kijivu,matunda,waya,kichwa,33,kichwa,kijivu,matunda,waya,black,white,black,black,9.110147999599576,c,matunda,7.130173600278795,n,1.0,matunda,0.8045319998636842,3.0
1,3,4,0,-0.25,mkasi,ndizi,kuacha,uyoga,47,kuacha,uyoga,mkasi,ndizi,white,white,white,white,21.402987900190052,n,uyoga,4.983782799914479,c,1.0,uyoga,0.5832258001901209,3.0
2,0,4,0,-0.25,pigo,mali,bahari,kamba,111,pigo,kamba,bahari,mali,white,white,white,white,15.677742700092494,d,bahari,43.28018769994378,d,0.0,pigo,1.1847620997577906,2.0
3,2,4,1,0.75,kitande,mfuko,matumbo,hazini,59,mfuko,kitande,hazini,matumbo,white,white,white,white,13.184682900086043,n,matumbo,10.511361500248313,j,1.0,matumbo,0.7710279999300838,3.0
4,4,2,1,0.5,mungu,imani,kuhesa,kusikiza,133,kuhesa,kusikiza,imani,mungu,black,white,black,white,17.778273299802095,c,imani,3.0568532003089786,n,1.0,imani,0.5807619001716375,3.0
5,7,4,0,-0.25,umasijo,kahawa,buli,nyumba,132,kahawa,buli,nyumba,umasijo,white,white,white,white,2.5100497999228537,n,umasijo,3.089262899942696,j,1.0,umasijo,0.5185291999951005,3.0
6,8,4,1,0.75,meza,mwanga,baharia,mende,108,baharia,mwanga,meza,mende,white,white,white,white,11.975187300238758,n,baharia,8.95337300002575,d,1.0,baharia,0.5474142995662987,3.0
7,6,2,1,0.5,starehe,bloke,ukweli,lugha,94,lugha,ukweli,starehe,bloke,black,white,black,white,11.660314599983394,j,lugha,2.91019339999184,d,1.0,lugha,1.1385123999789357,3.0
8,5,2,0,-0.5,simu,funzi,mizizi,jokofu,66,jokofu,funzi,simu,mizizi,white,black,white,black,15.13334340043366,n,simu,7.498621799983084,n,1.0,simu,0.7209560996852815,3.0
9,9,1,1,0.0,osha,punda,jiwe,chaki,106,punda,jiwe,chaki,osha,white,black,black,black,4.513871899805963,d,osha,23.022656300105155,n,0.0,chaki,0.6872589001432061,3.0
10,12,2,1,0.5,ndege,kengele,sindano,ndugu,13,ndege,ndugu,kengele,sindano,white,white,black,black,21.156206300016493,d,ndege,7.523850800003856,d,1.0,ndege,0.6790523999370635,3.0
11,13,2,0,-0.5,sufuria,nopya,uadui,mamba,101,uadui,mamba,sufuria,nopya,black,white,black,white,21.30608920007944,j,nopya,23.406731399707496,j,1.0,nopya,0.6603487003594637,3.0
